<código docente>;<titulo da publicacao>;<qualificada?>
214;Teoria do Dibre Infinito;X
754;Regras do CBLOL;
214;Difração da Bola de Futebol;X
488;1000 Likes no Instagram: A Teoria.;
754;Pedra Filosofal;X
214;Aerodinâmica de Objetos Esféricos Durante Chutes ao Gol;X
488;Teorema do Boca;X
754;Bronze: A liga mais forte da natureza;
500;Agua mata a sede;X
754;Eu amo batata;
498;Barata combate asma;X
754;Programar aumenta felicidade;X
498;Bom dia elimina mal humor;
214;Divisão de lucros;X
498;Pistola e melhor que revólver;
500;Pelada pode estragar casamentos;
214;Pc é melhor que console;X
754;Drible é mato;
754;Passinho do Michael Jackson causa polêmica;
498;Michael Jordan é um E.T.;X
500;Namoro está em baixa;
498;Felicidade em abraçar árvores;X
498;Cachorros são mais espertos que programadores;
498;Probabilidade na hora do almoço;X
754;Almoçar na hora da janta faz bem;
498;Benjamin Button, farça desmarcarada;
488;Prefirencia na hora da adoção;X
488;Aborto deveria ser legalizado;
488;Legalização das drogas;
488;Parto normal é mais natural;X
